CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020
05,Coahuila de Zaragoza,05020,Múzquiz,71627,2.507622547,29.71712448,0.446579989,0.401356699,0.503109101,0.589315998,17.69894218,10.18470688,68.04176216,58.90496136,Muy bajo,0.922369715
05,Coahuila de Zaragoza,05021,Nadadores,6539,2.313781206,25.13454234,0.581217498,0.152951973,0.382379933,0.244723157,15.10390282,100,69.79071884,57.75279376,Muy bajo,0.904328374
05,Coahuila de Zaragoza,05022,Nava,33129,1.764405046,26.0863242,0.360540508,0.263548514,0.402957038,0.796897252,15.75459576,2.764949138,78.77331282,58.95548212,Muy bajo,0.9231608
05,Coahuila de Zaragoza,05023,Ocampo,9642,3.882078225,38.88199399,1.06248685,3.702924469,4.765411319,1.314958973,18.1749897,100,81.46139119,55.12789598,Bajo,0.863226128
05,Coahuila de Zaragoza,05024,Parras,44472,3.53480925,26.52827047,2.372122473,0.280403419,3.258559088,1.494731129,17.0841217,21.75301313,74.96524495,57.94772979,Muy bajo,0.907380801
05,Coahuila de Zaragoza,05025,Piedras Negras,176327,1.422786387,22.82616439,0.106025698,0.157605768,0.354183144,0.51984525,15.65785885,1.342959388,76.82909684,59.27275589,Muy bajo,0.928128866
05,Coahuila de Zaragoza,05026,Progreso,3239,3.358843537,42.94774457,0.97668557,0.031505986,0.97668557,0.535601764,17.40020561,100,82.09109731,56.46383023,Bajo,0.884144999
05,Coahuila de Zaragoza,05027,Ramos Arizpe,122243,1.68345176,17.99654041,0.221903902,0.194579914,0.813923642,0.585410284,12.94850922,6.734945968,55.03810171,60.16500884,Muy bajo,0.942100305
05,Coahuila de Zaragoza,05028,Sabinas,64811,1.624202494,23.94107055,0.122102009,0.13755796,0.482225657,0.502341685,12.77618122,8.663652775,62.88463921,59.75115203,Muy bajo,0.935619884
05,Coahuila de Zaragoza,05029,Sacramento,2471,3.412217942,28.83874518,0.607041684,0.040469446,0.080938891,0.121408337,18.75862122,100,68.43291995,57.44330736,Muy bajo,0.899482248
05,Coahuila de Zaragoza,05030,Saltillo,879958,1.258067164,16.41003635,0.12395357,0.084956813,0.851759147,0.533152795,11.88346672,1.764516034,47.02460442,60.73750406,Muy bajo,0.951064784
05,Coahuila de Zaragoza,05031,San Buenaventura,24759,1.491968418,20.80928003,0.259046385,0.311665183,0.319760382,0.263136588,13.08632278,5.436406963,60.16342064,59.96137059,Muy bajo,0.938911614
05,Coahuila de Zaragoza,05032,San Juan de Sabinas,42260,1.499029855,25.67706399,0.227461201,0.130316313,0.326975477,0.540220353,13.0404892,7.576904875,61.98193228,59.75798866,Muy bajo,0.935726936
05,Coahuila de Zaragoza,05033,San Pedro,101041,3.636640503,32.97017996,1.165538193,0.227349443,6.140420547,1.45448408,18.31123924,43.13001653,80.52539985,57.05940654,Muy bajo,0.893470895
